"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A16","A17","A18","A19","A20","A21","A22","A23","A24","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B16","B17","B18","B19","B20","B21","B22","B23","B24","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C16","C17","C18","C19","C20","C21","C22","C23","C24","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","D16","D17","D18","D19","D20","D21","D22","D23","D24","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","E16","E17","E18","E19","E20","E21","E22","E23","E24","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F16","F17","F18","F19","F20","F21","F22","F23","F24","G1","G2","G3","G4","G5","G6","G8","G9","G10","G11","G12","G16","G17","G18","G19","G20","G21","G22","G23","G24","H1","H2","H3","H4","H5","H6","H8","H9","H10","H11","H12","H16","H17","H18","H19","H20","H21","H22","H23","H24","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I12","I16","I17","I18","I19","I20","I21","I22","I23","I24","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J12","K1","K2","K3","K4","K5","K6","K7","K8","K9","K10","K12","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L12","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","O12","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P16","P17","P18","P19","P20","P21","P22","P23","P24"
"cpD1",32.98,33.21,32.33,32.44,31.95,32.95,32.67,34.36,33.91,35.65,34.5,36.68,17.86,17.97,17.95,19.26,19.23,19.22,18.13,18.32,18.37,38.53,39.69,38.83,38.38,38.14,39.2,38.87,40,40,40,40,40,26.12,25.99,25.99,27.59,27.63,27.62,26.29,26.2,26.48,35.56,37.28,32.64,34.01,31.87,32.35,33.11,33.79,35.66,35.56,33.82,34.67,19.07,19.19,19.11,20.45,20.5,20.37,19.52,19.49,19.41,40,40,40,38.43,38.42,39.08,40,40,40,40,40,40,28.46,28.28,28.42,29.95,30.12,30,28.66,28.59,28.74,32.41,32.44,32.98,34.81,31.88,32.53,35.23,33.71,33.44,34.38,38.16,33.7,21.54,21.59,21.68,22.96,23.15,23.12,22.19,22.32,22.07,38.37,38.4,39.11,40,38.17,38.91,40,40,39.94,40,40,39.21,29.22,29.17,29.22,30.88,30.91,30.87,29.35,29.32,29.46,32.92,34.07,34.76,33.75,31.87,32.62,38.78,34.13,35.06,32.74,33.78,22.64,22.8,22.67,24.17,24.17,24.21,22.99,23.04,22.93,38.4,40,40,40,38.5,39.11,40,40,40,38.79,40,31.32,31.23,31.27,32.84,32.95,32.88,31.47,31.45,31.59,34.89,36.14,37.65,33.33,33.84,36.19,32.97,36.42,35.06,38.45,35.37,25.3,25.42,25.41,26.93,27.07,27.05,25.29,25.39,25.3,40,40,40,39.26,40,40,39.94,40,40,40,39.74,32.84,33.01,32.61,33.45,33.9,33.2,32.47,32.36,33.62,34.38,37.01,39.39,39.57,39.66,40,40,39.34,39.75,38.46,39.15,40,40,32.37,32.78,32.35,32.96,33.71,35.47,32.74,33.82,34.65,35.49,33.47,36.3,38.25,39.07,39,38.55,40,39.72,38.73,40,40,40,40,40,34.86,33.76,37.23,36.54,34.14,33.71,35.1,35.79,35.86,37.22,35.39,38.24,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
"cpD2",29.46,29.67,28.51,28.78,28.16,29.37,29.08,31.13,30.54,32.77,31.2,33.98,12.83,12.83,12.82,13.68,13.59,13.54,12.52,12.61,12.38,36.33,37.67,36.55,36.16,35.92,36.98,36.67,39.44,38.29,1,38.33,1,21.38,21.34,21.29,22.76,22.81,22.76,21.46,21.3,21.45,32.76,34.84,28.88,30.7,27.99,28.58,29.54,30.47,32.77,32.53,30.35,31.49,14.07,14.14,14.04,15,15,14.75,13.7,13.86,13.7,1.98,1,37.63,36.82,36.15,36.93,37.46,40,1,1,37.7,1,23.95,23.83,23.97,25.52,25.61,25.55,24.11,23.97,24.08,28.74,28.71,29.42,31.6,27.94,28.75,32.1,30.26,29.92,31.08,35.84,30.18,16.66,16.63,16.58,17.74,17.8,17.66,16.83,16.82,16.52,36,36.3,36.94,1.16,35.69,36.38,40,38.89,37.41,38.95,1,37.03,24.9,24.87,24.93,26.56,26.55,26.61,24.92,24.76,25,29.32,30.84,31.66,30.22,27.99,28.93,36.78,30.78,32.01,29.09,30.44,17.9,17.93,17.82,19.08,19.03,18.99,17.75,17.72,17.55,36.15,1,40,37.67,35.9,36.66,1.24,37.92,40,36.28,38.01,27.27,27.3,27.29,29.01,29.04,29.08,27.47,27.37,27.53,31.88,33.49,35.54,29.74,30.46,33.39,29.27,33.57,32.1,36.43,32.43,20.75,20.81,20.79,22.11,22.14,22.12,20.3,20.43,20.2,39.07,1.13,1.03,36.92,37.98,1.29,36.83,1,40,1.33,37.92,29.28,29.38,28.82,29.92,30.56,29.52,28.8,28.59,30.25,31.2,34.66,36.95,37.26,36.91,37.76,39.51,36.86,36.88,35.99,36.67,40,1,28.65,29.07,28.47,29.3,30.21,32.5,29.04,30.4,31.55,32.66,29.98,33.63,35.87,36.48,36.63,36.2,37.72,37.38,36.2,39.82,40,40,37.82,1,31.83,30.46,34.82,34.02,30.82,30.36,32.21,33.13,33.24,35.18,32.53,36.44,40,38.39,1.09,1,38.86,39.15,38.61,40,1,1,1,1.75,1,1,1,6.23,1.09,1,1,1,1
