Well,Fluor,reaction_type,sample_ID,Sample,Starting Quantity for Std,qPCRwell_label,cpD1,cpD2
O07,HEX,Test1,Unkn,209_D_1368,NaN,O7,35.1,32.21
O08,HEX,Test1,Unkn,214_D_1428,NaN,O8,35.79,33.13
O09,HEX,Test1,Unkn,236_D_1692,NaN,O9,35.86,33.24
O10,HEX,Test1,Unkn,245_D_1800,NaN,O10,37.22,35.18
O11,HEX,Test1,Unkn,188_B_1198,NaN,O11,35.39,32.53
O12,HEX,Test1,Unkn,250_D_1860,NaN,O12,38.24,36.44
P01,HEX,all_products,Unkn,19_D_128,NaN,P1,40,40
P02,HEX,all_products,Unkn,35_D_224,NaN,P2,40,38.39
P03,HEX,all_products,Unkn,70_D_428,NaN,P3,40,1.09
P04,HEX,all_products,Unkn,242_D_1764,NaN,P4,40,1
P05,HEX,all_products,Unkn,166_D_968,NaN,P5,40,38.86
P06,HEX,all_products,Unkn,201_D_1272,NaN,P6,40,39.15
P07,HEX,all_products,Unkn,209_D_1368,NaN,P7,40,38.61
P08,HEX,all_products,Unkn,214_D_1428,NaN,P8,40,40
P09,HEX,all_products,Unkn,236_D_1692,NaN,P9,40,1
P10,HEX,all_products,Unkn,245_D_1800,NaN,P10,40,1
P11,HEX,all_products,Unkn,188_B_1198,NaN,P11,40,1
P12,HEX,all_products,Unkn,250_D_1860,NaN,P12,40,1.75
P16,HEX,Test1,NTC-01,NTC,NaN,P16,40,1
P17,HEX,Test1,NTC-01,NTC,NaN,P17,40,1
P18,HEX,Test1,NTC-01,NTC,NaN,P18,40,1
P19,HEX,all_products,NTC-02,NTC,NaN,P19,40,6.23
P20,HEX,all_products,NTC-02,NTC,NaN,P20,40,1.09
P21,HEX,all_products,NTC-02,NTC,NaN,P21,40,1
P22,HEX,all_products,NTC-03,NTC,NaN,P22,40,1
P23,HEX,all_products,NTC-03,NTC,NaN,P23,40,1
P24,HEX,all_products,NTC-03,NTC,NaN,P24,40,1
